state,year,votes,category,perwt,cat,question_id_mapped,region,respondents,question,democrat,total,democrat_cred,votes_total,votes_dem
MN,2008,2921147,1,1467926,educ_sel,1951,North Central,,,,49.7328043520137,56,1452768.32234472,813550.260513042
MN,2008,2921147,asian,83565,race_sel,260,North Central,2381,Vote by Race,,1,66.6212867592178,29211.47,19461.0571952829
MN,2008,2921147,black,129295,race_sel,260,North Central,2381,Vote by Race,,3,94.6657335121554,87634.41,82959.7570355497
MN,2008,2921147,latino,72594,race_sel,260,North Central,2381,Vote by Race,,3,71.0987839297537,72594,51613.4512059654
MN,2008,2921147,other,75917,race_sel,260,North Central,2381,Vote by Race,,2,70.071427376871,58422.94,40937.7879735329
MN,2008,2921147,white,3436020,race_sel,260,North Central,2381,Vote by Race,53,90,53,2629032.3,1393387.119
MN,2012,2950780,0,2327321,educ_sel,1951,North Central,1671,Are You a College Graduate?,52,53,52,1563913.4,813234.968
MN,2012,2950780,1,1594282,educ_sel,1951,North Central,1671,Are You a College Graduate?,54,47,54,1386866.6,748907.964
MN,2012,2950780,asian,106366,race_sel,260,North Central,1671,Vote by Race,,3,66.923240363423,88523.4,59242.7277598744
MN,2012,2950780,black,163055,race_sel,260,North Central,1671,Vote by Race,,6,94.7013355617419,163055,154415.262700198
MN,2012,2950780,latino,83535,race_sel,260,North Central,1671,Vote by Race,,3,66.1433155509206,83535,55252.8186454615
MN,2012,2950780,other,91948,race_sel,260,North Central,1671,Vote by Race,,2,60.0409756340874,59015.6,35433.5420163104
MN,2012,2950780,white,3476699,race_sel,260,North Central,1671,Vote by Race,48,87,48,2567178.6,1232245.728
MN,2012,2950780,0,2774113,inc_sel,917,North Central,1671,Vote by Income,55,73,55,2154069.4,1184738.17
MN,2012,2950780,1,1147490,inc_sel,917,North Central,1671,Vote by Income,46,27,46,796710.6,366486.876
MN,2016,2968281,0,2275975,educ_sel,1951,North Central,1636,Are you a college graduate?,38,44,38,1306043.64,496296.5832
